Borough,Method_of_Killing,Sex,Domestic_Abuse,Solved_Status
Wandsworth,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Greenwich,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Kingston upon Thames,Blunt Implement,Male,Not Domestic Abuse,Solved
Hounslow,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Hounslow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Richmond upon Thames,"Physical Assault, no weapon",Female,Not Domestic Abuse,Solved
Richmond upon Thames,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hillingdon,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hillingdon,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Hillingdon,"Physical Assault, no weapon",Female,Domestic Abuse,Solved
Hillingdon,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Unsolved
Lambeth,Shooting,Male,Not Domestic Abuse,Unsolved
Lambeth,Shooting,Male,Not Domestic Abuse,Solved
Lambeth,Knife or Sharp Implement,Male,Not Domestic Abuse,Unsolved
Lambeth,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Unsolved
Lambeth,"Physical Assault, no weapon",Male,Not Domestic Abuse,Solved
Lambeth,Shooting,Male,Not Domestic Abuse,Unsolved
Hounslow,Blunt Implement,Female,Not Domestic Abuse,Solved
Hounslow,Blunt Implement,Female,Not Domestic Abuse,Solved
Hounslow,Blunt Implement,Male,Not Domestic Abuse,Solved
Hounslow,Blunt Implement,Male,Not Domestic Abuse,Solved
Merton,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Unsolved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Westminster,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Brent,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Brent,Shooting,Male,Not Domestic Abuse,Solved
Brent,Shooting,Female,Not Domestic Abuse,Solved
Harrow,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Harrow,Blunt Implement,Male,Not Domestic Abuse,Solved
Camden,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Shooting,Male,Not Domestic Abuse,Unsolved
Camden,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Barnet,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Ealing,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Blunt Implement,Male,Not Domestic Abuse,Unsolved
Islington,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Islington,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Haringey,Shooting,Male,Not Domestic Abuse,Solved
Haringey,Shooting,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Shooting,Female,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Hackney,Blunt Implement,Male,Not Domestic Abuse,Unsolved
Haringey,Blunt Implement,Male,Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Not Domestic Abuse,Solved
Haringey,Knife or Sharp Implement,Male,Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Southwark,Knife or Sharp Implement,Female,Domestic Abuse,Solved
Southwark,Blunt Implement,Male,Domestic Abuse,Solved
